Final Material,Author,Title,Year,Cited References (#),Times Cited (#),Formation Method,Anna's Notes,Zr Precursor,Zr Precursor Concentration (M),Dopant,Dopant Concentration (M),Solvent 1,Solvent 1 Concentration (M),Solvent 2,Additional Solvents,Additional Precursors (non Zr),Modifier,Modifier Concentration (M),Surfactant,Surfactant Concentration (M),Gelation Agent,Gelation Agent (M),pH final sol,Gelation Temp (°C),Gelation Pressure (MPa),Gelation Time (mins),Aging Temp (°C),Aging Time (hrs),Wash Solvent 1,Wash Times 1 (#),Wash Duration 1 (days),Wash Temp 1 (°C),Wash Solvent 2,Wash Times 2 (#),Wash Duration 2 (days),Wash Temp 2 (°C),Wash Solvent 3,Wash Times 3 (#),Wash Duration 3 (days),Wash Temp 3 (°C),Wash Solvent 4,Wash Times 4 (#),Wash Duration 4 (days),Wash Temp 4 (°C),Gelation/Washing Notes,Drying Method,Drying Solvent,Drying Temp (°C),Drying Heating Rate (°C/min),Drying Pressure (MPa),Drying Time (hrs),Drying Atmosphere,Drying Temp 2 (°C),Drying Heating Rate 2 (°C/min),Drying Pressure 2 (MPa),Drying Time 2 (hrs),Drying Atmosphere 2,Drying Notes,Sintering Temp (°C),Sintering Time (min),Ramp Rate (°C/min),Sintering Atmosphere,Sintering Notes,SEM?,SEM Instrument,Why SEM?,SEM Column,Acceleration Voltage (kV),Emission Current (mA),TEM?,TEM Instrument,Why TEM?,AFM?,AFM Instrument,Why AFM?,AFM Sample PREP,N2 Adsorption-Desorption Isotherms?,N2 A-D Instrument,Why N2 A-D?,Analysis (°C),Analysis Pressure (psi),Degas (°C),Degas Time (min),Degas Gas,BET/BJH?,Why BET/BJH?,XPS?,XPS Instrument,XPS info,Why XPS?,XRD?,XRD Instrument,Radiation,Why XRD?,XRD 2θ Range (°),XRD Increment (°/step),XRD Rate (°/min),XRD Wavelength (Å),kV,mA,FT-IR?,FT-IR Instrument,Why FTIR?,Range (cm-1),Resolution                 (cm-1),Scans (#),TGA?,TGA Instrument,Why TGA?,TGA Temperature (°C),TGA Atmosphere,TGA Ramp Rate (°C/min),Density?,Density Instrument,Medium,Hardness?,Hardness Instrument,Load (N),Dwell Time (s),Electrical Conductivty?,Electrical Conductivity Instrument,Why Electrical Conductivity?,Small Angle Neutron Scattering (SANS)?,SANS Instrument,Why SANS?,SANS Wavelength (nm),SANS sample-to-detector distance (m),SANS Detector,Small-Angle X-ray Scattering (SAXS)?,SAXS Instrument,Why SAXS?,SAXS Voltage (kV),SAXS Power (W),Thermal Conductivity,Thermal Conductivity Instrument,TC Sinter Temp (°C),TC Sinter Time (hr),ICP?,ICP Instrument,Why ICP?,DLS,DLS Instrument,Why DLS?,Raman,Raman Instrument,Why Raman?,Laser,Spectral Resolution (cm-1),Spectra Recorded Between (cm-1),Porosity,Porosity (%),Pore Volume (cm3/g),Pore Size (nm),Nanoparticle Size (nm),Surface Area (m2/g),Density (g/cm3),Thermal Conductivity (W/mK),Crystalline Phase,Notes,Index
"Nanostructured ZrO2; drying: 1 L H2O + 0.2 L MeOH @ 30 MPa, 280C, as-dried",Matejova et al.,Nanostructured ZrO2 synthesized by using pressurized and supercritical fluids—Its structural and microstructural evolution and thermal stability,2017,41,1,sol-gel,,zirconium(IV) propoxide,0.65,,,cyclohexane,5.1,water,n-propanol,,,,triton X-114,0.464,,,,20,,240,20,48,,,,,,,,,,,,,,,,,Gels was ground to small pieces prior to drying,supercritical drying,"1 L water, 0.2 L methanol",280,,30,,,,,,,,,,,,,as-dried,No,,,,,,Yes,JEOL JEM 2100,,,,,,Yes, ASAP 2020 Micromeritics ,,-196.15,,25,24,,Yes,surface area and pore size distributions,No,,,,Yes,PANalytical MPD difractometer,,,,,,,,,Yes,Nicolet 6700 FT-IR,,500-4000,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,No,,,,,,,,0.35,,,240,,,"tetragonal, monoclinic",Approximated surface area/pore volume from plots,531
"Nanostructured ZrO2; drying:  1 L H2O + 0.2 L MeOH @ 10 MPa, 200C, as-dried",Matejova et al.,Nanostructured ZrO2 synthesized by using pressurized and supercritical fluids—Its structural and microstructural evolution and thermal stability,2017,41,1,sol-gel,,zirconium(IV) propoxide,0.65,,,cyclohexane,5.1,water,n-propanol,,,,triton X-114,0.464,,,,20,,240,20,48,,,,,,,,,,,,,,,,,Gels was ground to small pieces prior to drying,supercritical drying,"1 L water, 0.2 L methanol",200,,10,,,,,,,,,,,,,as-dried,No,,,,,,Yes,JEOL JEM 2100,,,,,,Yes, ASAP 2020 Micromeritics ,,-196.15,,25,24,,Yes,surface area and pore size distributions,No,,,,Yes,PANalytical MPD difractometer,,,,,,,,,Yes,Nicolet 6700 FT-IR,,500-4000,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,No,,,,,,,,0.819,,,641,,,amorphous,Approximated surface area/pore volume from plots,532
"Nanostructured ZrO2; drying:  1.5 L H2O + 0.2 L MeOH @ 10 MPa, 200C, as-dried",Matejova et al.,Nanostructured ZrO2 synthesized by using pressurized and supercritical fluids—Its structural and microstructural evolution and thermal stability,2017,41,1,sol-gel,,zirconium(IV) propoxide,0.65,,,cyclohexane,5.1,water,n-propanol,,,,triton X-114,0.464,,,,20,,240,20,48,,,,,,,,,,,,,,,,,Gels was ground to small pieces prior to drying,supercritical drying,"1.5 L water, 0.2 L methanol",200,,10,,,,,,,,,,,,,as-dried,No,,,,,,Yes,JEOL JEM 2100,,,,,,Yes, ASAP 2020 Micromeritics ,,-196.15,,25,24,,Yes,surface area and pore size distributions,No,,,,Yes,PANalytical MPD difractometer,,,,,,,,,Yes,Nicolet 6700 FT-IR,,500-4000,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,No,,,,,,,,1,,,600,,,tetragonal,Approximated surface area/pore volume from plots,533
"Nanostructured ZrO2; drying:  2 L H2O + 0.2 L MeOH @ 10 MPa, 200C, as-dried",Matejova et al.,Nanostructured ZrO2 synthesized by using pressurized and supercritical fluids—Its structural and microstructural evolution and thermal stability,2017,41,1,sol-gel,,zirconium(IV) propoxide,0.65,,,cyclohexane,5.1,water,n-propanol,,,,triton X-114,0.464,,,,20,,240,20,48,,,,,,,,,,,,,,,,,Gels was ground to small pieces prior to drying,supercritical drying,"2 L water, 0.2 L methanol",200,,10,,,,,,,,,,,,,as-dried,No,,,,,,Yes,JEOL JEM 2100,,,,,,Yes, ASAP 2020 Micromeritics ,,-196.15,,25,24,,Yes,surface area and pore size distributions,No,,,,Yes,PANalytical MPD difractometer,,,,,,,,,Yes,Nicolet 6700 FT-IR,,500-4000,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,No,,,,,,,,0.4,,,320,,,"tetragonal, monoclinic",Approximated surface area/pore volume from plots,534
"Nanostructured ZrO2; drying:  1 L MeOH @ 10 MPa, 200C, as-dried",Matejova et al.,Nanostructured ZrO2 synthesized by using pressurized and supercritical fluids—Its structural and microstructural evolution and thermal stability,2017,41,1,sol-gel,,zirconium(IV) propoxide,0.65,,,cyclohexane,5.1,water,n-propanol,,,,triton X-114,0.464,,,,20,,240,20,48,,,,,,,,,,,,,,,,,Gels was ground to small pieces prior to drying,supercritical drying,1 L methanol,200,,10,,,,,,,,,,,,,as-dried,No,,,,,,Yes,JEOL JEM 2100,,,,,,Yes, ASAP 2020 Micromeritics ,,-196.15,,25,24,,Yes,surface area and pore size distributions,No,,,,Yes,PANalytical MPD difractometer,,,,,,,,,Yes,Nicolet 6700 FT-IR,,500-4000,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,No,,,,,,,,0.209,,,403,,,amorphous,Approximated surface area/pore volume from plots,535
"Nanostructured ZrO2; drying:  1 L H2O + 0.55 L MeOH @ 10 MPa, 200C, as-dried",Matejova et al.,Nanostructured ZrO2 synthesized by using pressurized and supercritical fluids—Its structural and microstructural evolution and thermal stability,2017,41,1,sol-gel,,zirconium(IV) propoxide,0.65,,,cyclohexane,5.1,water,n-propanol,,,,triton X-114,0.464,,,,20,,240,20,48,,,,,,,,,,,,,,,,,Gels was ground to small pieces prior to drying,supercritical drying,"1 L water, 0.55 L methanol",200,,10,,,,,,,,,,,,,as-dried,No,,,,,,Yes,JEOL JEM 2100,,,,,,Yes, ASAP 2020 Micromeritics ,,-196.15,,25,24,,Yes,surface area and pore size distributions,No,,,,Yes,PANalytical MPD difractometer,,,,,,,,,Yes,Nicolet 6700 FT-IR,,500-4000,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,No,,,,,,,,0.931,,,649,,,amorphous,Approximated surface area/pore volume from plots,536
"Nanostructured ZrO2; drying: 1 L H2O + 0.2 L MeOH @ 235C, 10MPa, as-dried",Matejova et al.,Nanostructured ZrO2 synthesized by using pressurized and supercritical fluids—Its structural and microstructural evolution and thermal stability,2017,41,1,sol-gel,,zirconium(IV) propoxide,0.65,,,cyclohexane,5.1,water,n-propanol,,,,triton X-114,0.464,,,,20,,240,20,48,,,,,,,,,,,,,,,,,Gels was ground to small pieces prior to drying,pressurized hot methanol,"1 L water, 0.2 L methanol",235,,10,,,,,,,,,,,,,as-dried,No,,,,,,Yes,JEOL JEM 2100,,,,,,Yes, ASAP 2020 Micromeritics ,,-196.15,,25,24,,Yes,surface area and pore size distributions,No,,,,Yes,PANalytical MPD difractometer,,,,,,,,,Yes,Nicolet 6700 FT-IR,,500-4000,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,No,,,,,,,,0.3,,,250,,,"tetragonal, monoclinic",Approximated surface area/pore volume from plots,537
"Nanostructured ZrO2; drying: 1 L H2O + 0.2 L MeOH @ 235C, 15MPa, as-dried",Matejova et al.,Nanostructured ZrO2 synthesized by using pressurized and supercritical fluids—Its structural and microstructural evolution and thermal stability,2017,41,1,sol-gel,,zirconium(IV) propoxide,0.65,,,cyclohexane,5.1,water,n-propanol,,,,triton X-114,0.464,,,,20,,240,20,48,,,,,,,,,,,,,,,,,Gels was ground to small pieces prior to drying,pressurized hot methanol,"1 L water, 0.2 L methanol",235,,15,,,,,,,,,,,,,as-dried,No,,,,,,Yes,JEOL JEM 2100,,,,,,Yes, ASAP 2020 Micromeritics ,,-196.15,,25,24,,Yes,surface area and pore size distributions,No,,,,Yes,PANalytical MPD difractometer,,,,,,,,,Yes,Nicolet 6700 FT-IR,,500-4000,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,No,,,,,,,,0.5,,,400,,,amorphous,Approximated surface area/pore volume from plots,538
"Nanostructured ZrO2; drying: 1 L H2O + 0.2 L MeOH @ 235C, 20MPa, as-dried",Matejova et al.,Nanostructured ZrO2 synthesized by using pressurized and supercritical fluids—Its structural and microstructural evolution and thermal stability,2017,41,1,sol-gel,,zirconium(IV) propoxide,0.65,,,cyclohexane,5.1,water,n-propanol,,,,triton X-114,0.464,,,,20,,240,20,48,,,,,,,,,,,,,,,,,Gels was ground to small pieces prior to drying,pressurized hot methanol,"1 L water, 0.2 L methanol",235,,20,,,,,,,,,,,,,as-dried,No,,,,,,Yes,JEOL JEM 2100,,,,,,Yes, ASAP 2020 Micromeritics ,,-196.15,,25,24,,Yes,surface area and pore size distributions,No,,,,Yes,PANalytical MPD difractometer,,,,,,,,,Yes,Nicolet 6700 FT-IR,,500-4000,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,No,,,,,,,,0.625,,,425,,,amorphous,Approximated surface area/pore volume from plots,539
"Nanostructured ZrO2; drying: 1 L H2O + 0.2 L MeOH @ 235C, 25MPa, as-dried",Matejova et al.,Nanostructured ZrO2 synthesized by using pressurized and supercritical fluids—Its structural and microstructural evolution and thermal stability,2017,41,1,sol-gel,,zirconium(IV) propoxide,0.65,,,cyclohexane,5.1,water,n-propanol,,,,triton X-114,0.464,,,,20,,240,20,48,,,,,,,,,,,,,,,,,Gels was ground to small pieces prior to drying,pressurized hot methanol,"1 L water, 0.2 L methanol",235,,25,,,,,,,,,,,,,as-dried,No,,,,,,Yes,JEOL JEM 2100,,,,,,Yes, ASAP 2020 Micromeritics ,,-196.15,,25,24,,Yes,surface area and pore size distributions,No,,,,Yes,PANalytical MPD difractometer,,,,,,,,,Yes,Nicolet 6700 FT-IR,,500-4000,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,No,,,,,,,,0.75,,,500,,,amorphous,Approximated surface area/pore volume from plots,540
"Nanostructured ZrO2; drying: 1 L H2O + 0.2 L MeOH @ 235C, 30MPa, as-dried",Matejova et al.,Nanostructured ZrO2 synthesized by using pressurized and supercritical fluids—Its structural and microstructural evolution and thermal stability,2017,41,1,sol-gel,,zirconium(IV) propoxide,0.65,,,cyclohexane,5.1,water,n-propanol,,,,triton X-114,0.464,,,,20,,240,20,48,,,,,,,,,,,,,,,,,Gels was ground to small pieces prior to drying,pressurized hot methanol,"1 L water, 0.2 L methanol",235,,30,,,,,,,,,,,,,as-dried,No,,,,,,Yes,JEOL JEM 2100,,,,,,Yes, ASAP 2020 Micromeritics ,,-196.15,,25,24,,Yes,surface area and pore size distributions,No,,,,Yes,PANalytical MPD difractometer,,,,,,,,,Yes,Nicolet 6700 FT-IR,,500-4000,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,No,,,,,,,,0.35,,,250,,,"tetragonal, monoclinic",Approximated surface area/pore volume from plots,541
"Nanostructured ZrO2; drying: 1 L H2O + 0.2 L MeOH @ 250C, 10MPa, as-dried",Matejova et al.,Nanostructured ZrO2 synthesized by using pressurized and supercritical fluids—Its structural and microstructural evolution and thermal stability,2017,41,1,sol-gel,,zirconium(IV) propoxide,0.65,,,cyclohexane,5.1,water,n-propanol,,,,triton X-114,0.464,,,,20,,240,20,48,,,,,,,,,,,,,,,,,Gels was ground to small pieces prior to drying,supercritical drying,"1 L water, 0.2 L methanol",250,,10,,,,,,,,,,,,,as-dried,No,,,,,,Yes,JEOL JEM 2100,,,,,,Yes, ASAP 2020 Micromeritics ,,-196.15,,25,24,,Yes,surface area and pore size distributions,No,,,,Yes,PANalytical MPD difractometer,,,,,,,,,Yes,Nicolet 6700 FT-IR,,500-4000,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,No,,,,,,,,0.45,,,200,,,"tetragonal, monoclinic",Approximated surface area/pore volume from plots,542
"Nanostructured ZrO2; drying: 1 L H2O + 0.2 L MeOH @ 250C, 15MPa, as-dried",Matejova et al.,Nanostructured ZrO2 synthesized by using pressurized and supercritical fluids—Its structural and microstructural evolution and thermal stability,2017,41,1,sol-gel,,zirconium(IV) propoxide,0.65,,,cyclohexane,5.1,water,n-propanol,,,,triton X-114,0.464,,,,20,,240,20,48,,,,,,,,,,,,,,,,,Gels was ground to small pieces prior to drying,supercritical drying,"1 L water, 0.2 L methanol",250,,15,,,,,,,,,,,,,as-dried,No,,,,,,Yes,JEOL JEM 2100,,,,,,Yes, ASAP 2020 Micromeritics ,,-196.15,,25,24,,Yes,surface area and pore size distributions,No,,,,Yes,PANalytical MPD difractometer,,,,,,,,,Yes,Nicolet 6700 FT-IR,,500-4000,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,No,,,,,,,,0.65,,,450,,,amorphous,Approximated surface area/pore volume from plots,543
"Nanostructured ZrO2; drying: 1 L H2O + 0.2 L MeOH @ 250C, 20MPa, as-dried",Matejova et al.,Nanostructured ZrO2 synthesized by using pressurized and supercritical fluids—Its structural and microstructural evolution and thermal stability,2017,41,1,sol-gel,,zirconium(IV) propoxide,0.65,,,cyclohexane,5.1,water,n-propanol,,,,triton X-114,0.464,,,,20,,240,20,48,,,,,,,,,,,,,,,,,Gels was ground to small pieces prior to drying,supercritical drying,"1 L water, 0.2 L methanol",250,,20,,,,,,,,,,,,,as-dried,No,,,,,,Yes,JEOL JEM 2100,,,,,,Yes, ASAP 2020 Micromeritics ,,-196.15,,25,24,,Yes,surface area and pore size distributions,No,,,,Yes,PANalytical MPD difractometer,,,,,,,,,Yes,Nicolet 6700 FT-IR,,500-4000,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,No,,,,,,,,0.9,,,525,,,amorphous,Approximated surface area/pore volume from plots,544
"Nanostructured ZrO2; drying: 1 L H2O + 0.2 L MeOH @ 250C, 25MPa, as-dried",Matejova et al.,Nanostructured ZrO2 synthesized by using pressurized and supercritical fluids—Its structural and microstructural evolution and thermal stability,2017,41,1,sol-gel,,zirconium(IV) propoxide,0.65,,,cyclohexane,5.1,water,n-propanol,,,,triton X-114,0.464,,,,20,,240,20,48,,,,,,,,,,,,,,,,,Gels was ground to small pieces prior to drying,supercritical drying,"1 L water, 0.2 L methanol",250,,25,,,,,,,,,,,,,as-dried,No,,,,,,Yes,JEOL JEM 2100,,,,,,Yes, ASAP 2020 Micromeritics ,,-196.15,,25,24,,Yes,surface area and pore size distributions,No,,,,Yes,PANalytical MPD difractometer,,,,,,,,,Yes,Nicolet 6700 FT-IR,,500-4000,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,No,,,,,,,,0.775,,,480,,,amorphous,Approximated surface area/pore volume from plots,545
"Nanostructured ZrO2; drying: 1 L H2O + 0.2 L MeOH @ 250C, 30MPa, as-dried",Matejova et al.,Nanostructured ZrO2 synthesized by using pressurized and supercritical fluids—Its structural and microstructural evolution and thermal stability,2017,41,1,sol-gel,,zirconium(IV) propoxide,0.65,,,cyclohexane,5.1,water,n-propanol,,,,triton X-114,0.464,,,,20,,240,20,48,,,,,,,,,,,,,,,,,Gels was ground to small pieces prior to drying,supercritical drying,"1 L water, 0.2 L methanol",250,,30,,,,,,,,,,,,,as-dried,No,,,,,,Yes,JEOL JEM 2100,,,,,,Yes, ASAP 2020 Micromeritics ,,-196.15,,25,24,,Yes,surface area and pore size distributions,No,,,,Yes,PANalytical MPD difractometer,,,,,,,,,Yes,Nicolet 6700 FT-IR,,500-4000,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,No,,,,,,,,0.375,,,225,,,"tetragonal, monoclinic",Approximated surface area/pore volume from plots,546
"ZrO2 aerogel, dried with ethanol, as-dried (Run 1)",Lermontov et al.,Hexafluoroisopropyl alcohol as a new solvent for aerogels preparation,2014,31,22,sol-gel,,zirconium(IV) propoxide,1.05,,, n-propanol,8.1,water,,,,,,,nitric acid,0.92,,20,,,20,24,ethanol,5,1,,,,,,,,,,,,,,,supercritical drying,ethanol,265,1.67,8.25,2,,,,,,,All runs done independently,,,,,as-dried,Yes, Carl Zeiss NVision 40,,,20,,No,,,No,,,,Yes,ATX-06,The specific surface area and porosity ,,,,,,Yes,specific surface areas,No,,,,Yes, Rigaku D/Max 2500,,,,,,,,,No,,,,,,Yes,Pyris Diamond thermoanalyzer,Thermogravimetric and differential thermal ananalysis,20-800,,10,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,No,,,,,,mesoporous,,,,,250,,,"tetragonal, monoclinic",,547
"ZrO2 aerogel, dried with ethanol, as-dried (Run 2)",Lermontov et al.,Hexafluoroisopropyl alcohol as a new solvent for aerogels preparation,2014,31,22,sol-gel,,zirconium(IV) propoxide,1.05,,, n-propanol,8.1,water,,,,,,,nitric acid,0.92,,20,,,20,24,ethanol,5,1,,,,,,,,,,,,,,,supercritical drying,ethanol,265,1.67,8.25,2,,,,,,,All runs done independently,,,,,as-dried,Yes, Carl Zeiss NVision 40,,,20,,No,,,No,,,,Yes,ATX-06,The specific surface area and porosity ,,,,,,Yes,specific surface areas,No,,,,Yes, Rigaku D/Max 2500,,,,,,,,,No,,,,,,Yes,Pyris Diamond thermoanalyzer,Thermogravimetric and differential thermal ananalysis,20-800,,10,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,No,,,,,,mesoporous,,,,,325,,,"tetragonal, monoclinic",,548
"ZrO2 aerogel, dried with hexafluoroisopropyl, as-dried (Run 1) ",Lermontov et al.,Hexafluoroisopropyl alcohol as a new solvent for aerogels preparation,2014,31,22,sol-gel,,zirconium(IV) propoxide,1.05,,, n-propanol,8.1,water,,,,,,,nitric acid,0.92,,20,,,20,24,hexafluoroisopropanol,5,1,,,,,,,,,,,,,,,supercritical drying,hexafluoroisopropanol,212.5,1.67,4.75,2,,,,,,,All runs done independently,,,,,as-dried,Yes, Carl Zeiss NVision 40,,,20,,No,,,No,,,,Yes,ATX-06,The specific surface area and porosity ,,,,,,Yes,specific surface areas,No,,,,Yes, Rigaku D/Max 2500,,,,,,,,,No,,,,,,Yes,Pyris Diamond thermoanalyzer,Thermogravimetric and differential thermal ananalysis,20-800,,10,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,No,,,,,,mesoporous,,,,,500,,,amorphous,,549
"ZrO2 aerogel, dried with hexafluoroisopropyl, as-dried (Run 2) ",Lermontov et al.,Hexafluoroisopropyl alcohol as a new solvent for aerogels preparation,2014,31,22,sol-gel,,zirconium(IV) propoxide,1.05,,, n-propanol,8.1,water,,,,,,,nitric acid,0.92,,20,,,20,24,hexafluoroisopropanol,5,1,,,,,,,,,,,,,,,supercritical drying,hexafluoroisopropanol,212.5,1.67,4.75,2,,,,,,,All runs done independently,,,,,as-dried,Yes, Carl Zeiss NVision 40,,,20,,No,,,No,,,,Yes,ATX-06,The specific surface area and porosity ,,,,,,Yes,specific surface areas,No,,,,Yes, Rigaku D/Max 2500,,,,,,,,,No,,,,,,Yes,Pyris Diamond thermoanalyzer,Thermogravimetric and differential thermal ananalysis,20-800,,10,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,No,,,,,,mesoporous,,,,,510,,,amorphous,,550
Sulfated zirconia without nickel aerogel @ 773K (500C),Kamoun et al.,Effect the solvent evacuation mode on the catalytic properties of nickel-modified sulfated zirconia catalysts: n-hexane isomerization,2014,54,5,sol-gel,,zirconium(IV) propoxide,,,, n-propanol,,water,sulfuric acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assumption: sulfuric acid is gelation agent,supercritical drying,,236.45,,5.1,,,,,,,,,500,180,3,oxygen,,No,,,,,,No,,,No,,,,Yes,Micromeritics ASAP 2000,Textural characterization,,,,,,Yes,Specific surface areas and pore size distributions,Yes, Kratos Analytical AXIS UltraDLD spectrometer,,,Yes,Philips Panalytical diffractometer,,,,,,1.5412,,,Yes,Perkin Elmer Pragon 1000PC,,400-4000,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,No,,,,,,mesoporous,,,21.3,,120,,,,,551
"Sulfated zirconia with nickel aerogel, as-dried",Kamoun et al.,Effect the solvent evacuation mode on the catalytic properties of nickel-modified sulfated zirconia catalysts: n-hexane isomerization,2014,54,5,sol-gel,,zirconium(IV) propoxide,,,, n-propanol,,water,sulfuric acid,,,,,,nickel acetylacetonate,,,,,,,,,,,,,,,,,,,,,,,,assumption: sulfuric acid is gelation agent,supercritical drying,,236.45,,5.1,,,,,,,,,,,,,as-dried,No,,,,,,No,,,No,,,,Yes,Micromeritics ASAP 2000,Textural characterization,,,,,,Yes,Specific surface areas and pore size distributions,Yes, Kratos Analytical AXIS UltraDLD spectrometer,,,Yes,Philips Panalytical diffractometer,,,,,,1.5412,,,Yes,Perkin Elmer Pragon 1000PC,,400-4000,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,No,,,,,,mesoporous,,,,,,,,tetragonal,,552
Sulfated zirconia with nickel aerogel @ 773K (500C),Kamoun et al.,Effect the solvent evacuation mode on the catalytic properties of nickel-modified sulfated zirconia catalysts: n-hexane isomerization,2014,54,5,sol-gel,,zirconium(IV) propoxide,,,, n-propanol,,water,sulfuric acid,,,,,,nickel acetylacetonate,,,,,,,,,,,,,,,,,,,,,,,,assumption: sulfuric acid is gelation agent,supercritical drying,,236.45,,5.1,,,,,,,,,500,180,3,oxygen,,No,,,,,,No,,,No,,,,Yes,Micromeritics ASAP 2000,Textural characterization,,,,,,Yes,Specific surface areas and pore size distributions,Yes, Kratos Analytical AXIS UltraDLD spectrometer,,,Yes,Philips Panalytical diffractometer,,,,,,1.5412,,,Yes,Perkin Elmer Pragon 1000PC,,400-4000,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,No,,,,,,mesoporous,,,21.1,,101,,,"tetragonal, monoclinic",,553
Sulfated zirconia with nickel aerogel @ 773K (500C) after reaction,Kamoun et al.,Effect the solvent evacuation mode on the catalytic properties of nickel-modified sulfated zirconia catalysts: n-hexane isomerization,2014,54,5,sol-gel,,zirconium(IV) propoxide,,,, n-propanol,,water,sulfuric acid,,,,,,nickel acetylacetonate,,,,,,,,,,,,,,,,,,,,,,,,assumption: sulfuric acid is gelation agent,supercritical drying,,236.45,,5.1,,,,,,,,,500,180,3,oxygen,,No,,,,,,No,,,No,,,,Yes,Micromeritics ASAP 2000,Textural characterization,,,,,,Yes,Specific surface areas and pore size distributions,Yes, Kratos Analytical AXIS UltraDLD spectrometer,,,Yes,Philips Panalytical diffractometer,,,,,,1.5412,,,Yes,Perkin Elmer Pragon 1000PC,,400-4000,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,No,,,,,,mesoporous,,,17,,82,,,"tetragonal, monoclinic",,554
Sulfated zirconia with nickel aerogel @ 873K (600C),Kamoun et al.,Effect the solvent evacuation mode on the catalytic properties of nickel-modified sulfated zirconia catalysts: n-hexane isomerization,2014,54,5,sol-gel,,zirconium(IV) propoxide,,,, n-propanol,,water,sulfuric acid,,,,,,nickel acetylacetonate,,,,,,,,,,,,,,,,,,,,,,,,assumption: sulfuric acid is gelation agent,supercritical drying,,236.45,,5.1,,,,,,,,,600,180,3,oxygen,,No,,,,,,No,,,No,,,,Yes,Micromeritics ASAP 2000,Textural characterization,,,,,,Yes,Specific surface areas and pore size distributions,Yes, Kratos Analytical AXIS UltraDLD spectrometer,,,Yes,Philips Panalytical diffractometer,,,,,,1.5412,,,Yes,Perkin Elmer Pragon 1000PC,,400-4000,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,No,,,,,,mesoporous,,,26.2,,72,,,"tetragonal, monoclinic",,555
Sulfated zirconia with nickel aerogel @ 923K (650C),Kamoun et al.,Effect the solvent evacuation mode on the catalytic properties of nickel-modified sulfated zirconia catalysts: n-hexane isomerization,2014,54,5,sol-gel,,zirconium(IV) propoxide,,,, n-propanol,,water,sulfuric acid,,,,,,nickel acetylacetonate,,,,,,,,,,,,,,,,,,,,,,,,assumption: sulfuric acid is gelation agent,supercritical drying,,236.45,,5.1,,,,,,,,,650,180,3,oxygen,,No,,,,,,No,,,No,,,,Yes,Micromeritics ASAP 2000,Textural characterization,,,,,,Yes,Specific surface areas and pore size distributions,Yes, Kratos Analytical AXIS UltraDLD spectrometer,,,Yes,Philips Panalytical diffractometer,,,,,,1.5412,,,Yes,Perkin Elmer Pragon 1000PC,,400-4000,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,No,,,,,,mesoporous,,,19.1,,76,,,"tetragonal, monoclinic",,556
